id,veikla,wbs,etapas,iteracija,sanaudos_zmd,zmones,trukme_dd,pradzia,pabaiga,priklauso_nuo,laukimo_laikas_dd,laisvas_laikas_dd,kritine,roles
A01,"Suinteresuotųjų šalių poreikių, objekto ir apimties analizė",1.1 / Reikalavimai,Reikalavimų analizė,,10,2,5,2026-10-01,2026-10-07,,0,0,taip,projekto vadovas-analitikas 1; sistemos architektas-programuotojas 1
A02,Pratimų ir programų sąrašo sudarymas su užsakovo treneriais,"1.1, 4.1 / Reikalavimai",Reikalavimų analizė,,6,1,6,2026-10-08,2026-10-15,A01,0,11,,treneris-aktorius 1
A03,"Įrangos rinkos apžvalga, bandomojo komplekto parinkimas ir užsakymas",2.3 / N1,Reikalavimų analizė,,4,1,4,2026-10-08,2026-10-13,A01,0,5,,techninės įrangos specialistas 1
A04,Reikalavimų specifikacijos rengimas ir suderinimas su užsakovu,1.1 / Reikalavimai,Reikalavimų analizė,,24,2,12,2026-10-08,2026-10-23,A01,0,0,taip,projekto vadovas-analitikas 1; sistemos architektas-programuotojas 1
A05,"Filmavimo scenarijų ir plano rengimas, baseino laiko suderinimas",4.1 / N2,Reikalavimų analizė,,6,2,3,2026-10-16,2026-10-20,A02,0,11,,vaizdo operatorius-montuotojas 1; treneris-aktorius 1
A73,Pirmosios pratimų partijos (3–4 pratimų) filmavimas ir suderinimas su užsakovo treneriais,4.1 / N2,Reikalavimų analizė,,4,2,2,2026-10-21,2026-10-22,A05,0,11,,vaizdo operatorius-montuotojas 1; treneris-aktorius 1
A06,Likusių pratimų filmavimas baseine ir sporto salėje ne darbo valandomis,4.1 / N2,Reikalavimų analizė,,26,2,13,2026-10-23,2026-11-11,A73,0,11,,vaizdo operatorius-montuotojas 1; treneris-aktorius 1
A07,"Projekto plano rengimas: iteracijos, ištekliai ir rizikų valdymas",1.2 / Projekto valdymas,Planavimas,,7,1,7,2026-10-26,2026-11-04,A04,0,0,taip,"projekto vadovas-analitikas 0,5; sistemos architektas-programuotojas 0,5"
A08,Priėmimo kriterijų ir demonstravimo scenarijų rengimas,1.3 / Reikalavimai,Planavimas,,6.35,1,7,2026-10-26,2026-11-04,A04,0,0,taip,"projekto vadovas-analitikas 0,5; sistemos architektas-programuotojas 0,5"
A09,Bandomojo komplekto priėmimas ir paruošimas,2.3 / N1,Planavimas,,2,1,2,2026-10-28,2026-10-29,A03,10,5,,techninės įrangos specialistas 1
A10,Bandomojo komplekto drėgmės ir radijo ryšio bandymas baseine,2.3 / N1,Planavimas,,3,1,3,2026-10-30,2026-11-04,A09,0,8,,techninės įrangos specialistas 1
A75,Ausinių su plaukimo kepurėlėmis bandymas baseine,2.3 / N1,Projektavimas,,1,1,1,2026-11-05,2026-11-05,A10,0,8,,techninės įrangos specialistas 1
A11,"Architektūros, duomenų modelio ir API projektavimas","2.1, 2.2 / Projektavimas",Projektavimas,,16,2,8,2026-11-05,2026-11-16,A07 A08,0,0,taip,sistemos architektas-programuotojas 1; programuotojas (serverio dalis ir DB) 1
A12,Naudotojo sąsajos ir ekrano vaizdų prototipų kūrimas,2.2 / Projektavimas,Projektavimas,,10,0.8,13,2026-11-05,2026-11-23,A07 A08,0,7,,"projekto vadovas-analitikas 0,8"
A13,Grotuvo prototipo kūrimas DSDX5 įrenginyje,4.1 / S2,Projektavimas,,10,1,10,2026-11-05,2026-11-18,A07 A09,0,2,,programuotojas (Android grotuvas ir garsas) 1
A14,Projektavimo etapo valdymas,1.2 / Projekto valdymas,Projektavimas,,4.2,0.2,21,2026-11-05,2026-12-03,A07 A08,0,58,,"projekto vadovas-analitikas 0,2"
A15,Baseino ir sporto salės įrangos konfigūracijų projektavimas,2.3 / Projektavimas,Projektavimas,,8.2,1,9,2026-11-06,2026-11-18,A10 A75 A08,0,8,,techninės įrangos specialistas 1
A16,Garso instrukcijų įrašymas,4.2 / N2,Projektavimas,,6,2,3,2026-11-12,2026-11-16,A06,0,11,,vaizdo operatorius-montuotojas 1; treneris-aktorius 1
A17,Sinchronizacijos prototipo kūrimas ir delsos matavimas,3.5 / S1,Projektavimas,,10,1,10,2026-11-17,2026-11-30,A11,0,0,taip,sistemos architektas-programuotojas 1
A18,"Vykdomos architektūros karkaso kūrimas: moduliai, nuolatinė integracija ir diegimas (CI/CD), debesijos aplinka",2.2 / S4,Projektavimas,,8,1,8,2026-11-17,2026-11-26,A11,0,4,,programuotojas (serverio dalis ir DB) 1
A74,Bandomojo klipo matomumo patikra baseine iš tolimų takelių prieš montuojant visus pratimus,4.1 / N2,Projektavimas,,1,1,1,2026-11-17,2026-11-17,A09 A16,0,11,,vaizdo operatorius-montuotojas 1
A19,Vaizdo montavimas ir sujungimas su garsu,4.1 / N2,Projektavimas,,18,1,18,2026-11-18,2026-12-11,A16 A74,0,11,,vaizdo operatorius-montuotojas 1
A20,Garso perdavimo į radijo siųstuvą prototipo kūrimas,4.2 / S3,Projektavimas,,6,1,6,2026-11-19,2026-11-26,A13,0,2,,programuotojas (Android grotuvas ir garsas) 1
A21,"Prototipo bandymas baseine: sinchronizacija, delsa, garso kokybė",2.3 / Testavimas,Projektavimas,,6,3,2,2026-12-01,2026-12-02,A17 A20 A10 A15,0,0,taip,sistemos architektas-programuotojas 1; programuotojas (Android grotuvas ir garsas) 1; techninės įrangos specialistas 1
A22,Projekto sprendimų peržiūra ir patvirtinimas,2 / Projektavimas,Projektavimas,,3.8,3.8,1,2026-12-03,2026-12-03,A21 A11 A12 A18,0,0,taip,"sistemos architektas-programuotojas 1; programuotojas (serverio dalis ir DB) 1; programuotojas (Android grotuvas ir garsas) 1; projekto vadovas-analitikas 0,8"
A23,Galutinės įrangos specifikacijos parengimas ir užsakymas,2.3 / N1,Projektavimas,,3,1,3,2026-12-03,2026-12-07,A21 A75,0,41,,techninės įrangos specialistas 1
A24,"Kūrimo etapo valdymas: iteracijų planavimas, stebėsena, pokyčių valdymas",1.2 / Projekto valdymas,Kūrimas,1–4 iteracijos,8.5,0.1,85,2026-12-04,2027-04-09,A22 A14,0,58,,"projekto vadovas-analitikas 0,1"
A25,1 iteracijos detalusis projektavimas,2.2 / Projektavimas,Kūrimas,1 iteracija,8.8,4.5,2,2026-12-04,2026-12-07,A22,0,0,taip,"sistemos architektas-programuotojas 1; programuotojas (serverio dalis ir DB) 1; programuotojas (žiniatinklio sąsaja) 1; programuotojas (Android grotuvas ir garsas) 1; projekto vadovas-analitikas 0,5"
A26,Realiojo laiko vykdymo variklio ir sinchronizacijos kūrimas,3.5 / S1,Kūrimas,1 iteracija,18,1,18,2026-12-08,2027-01-05,A25,0,2,,sistemos architektas-programuotojas 1
A27,"Grotuvo programos kūrimas: atkūrimas, komandos, būsenos siuntimas",4.1 / S2,Kūrimas,1 iteracija,19,1,19,2026-12-08,2027-01-06,A25,0,1,,programuotojas (Android grotuvas ir garsas) 1
A28,Garso srautų valdymo kūrimas: radijo siųstuvas ir Bluetooth kolonėlės,"4.2, 4.3 / S3",Kūrimas,1 iteracija,13.5,1,14,2026-12-08,2026-12-29,A25,0,0,taip,programuotojas (serverio dalis ir DB) 1
A29,Sporto erdvių ir įrangos registro kūrimas,3.1 / P0,Kūrimas,1 iteracija,12,1,12,2026-12-08,2026-12-23,A25,0,0,taip,programuotojas (žiniatinklio sąsaja) 1
A30,Testavimo strategijos ir testų scenarijų rengimas,5.1 / Testavimas,Kūrimas,1 iteracija,5,0.5,10,2026-12-08,2026-12-21,A25,0,10,,"testuotojas 0,5"
A31,1 iteracijos testavimas,5.1 / Testavimas,Kūrimas,1 iteracija,10,0.5,20,2026-12-08,2027-01-07,A25,0,0,taip,"testuotojas 0,5"
A32,Turinio paruošimas grotuvo formatu ir trenerių peržiūra,4.1 / N2,Kūrimas,1 iteracija,8,1,8,2026-12-14,2026-12-23,A19 A13,0,11,,vaizdo operatorius-montuotojas 1
A33,Garso komunikacijos kūrimas: trenerio balsas ir įrašytos instrukcijos,4.2 / P6,Kūrimas,1 iteracija,7.5,1,8,2026-12-28,2027-01-07,A29,0,0,taip,programuotojas (žiniatinklio sąsaja) 1
